Title,Year,Rated,Genre(s),Plot
The Way Way Back,2013,PG-13,"Comedy, Drama","Duncan (Liam James) is not a popular kid and it doesn't look like the summer is going to offer anything better for him. His mother's boyfriend has invited them to his beach house where Duncan is expected to improve his personality and physical appearance, and meet girls. But his would-be step-sister doesn't want anything to do with him and his shy demeanor makes it difficult for him to meet anybody new. When Duncan wanders into the Water Wizz, the local water park, he meets adult employees who are just having fun. Owen (Sam Rockwell) lets Duncan work with him and their new-found bond will help each other mature and find their place in life. Which for Duncan means standing up to his would-be step-father, having a conversation with the girl next door and being more comfortable with who he is."
We're the Millers,2013,R,"Comedy, Crime","After being robbed of a week's take, small-time pot dealer David is forced by his boss to go to Mexico to pick up a load of marijuana. In order to improve his odds of making it past the border, David asks the broke stripper Rose and two local teenagers to join him and pretend they're on a family holiday."
October Baby,2011,PG-13,Drama,"As the curtain rises, Hannah hesitantly steps onto the stage for her theatrical debut in college. Yet before she can utter her first lines, Hannah-unscripted-collapses in front of the stunned audience. After countless medical tests, all signs point to one underlying factor: Hannah's difficult birth. This revelation is nothing compared to what she then learns from her parents: she was actually adopted ... after a failed abortion attempt. Bewildered, angered, and confused, Hannah turns for support to Jason, her long-time friend. Encouraged by his adventurous spirit, Hannah joins his group of friends on a Spring Break road trip, embarking on a journey to discover her hidden past ... and find hope for her unknown future. In the midst of her incredible journey, Hannah learns that every life is beautiful."
People Like Us,2012,PG-13,"Comedy, Drama","Workaholic and sleazy businessman Sam is extremely reluctant to leave New York and go to his father's funeral. When he finally arrives, it becomes apparent that his mother and girlfriend are disappointed in him for ""running away"" whenever times get too emotional. Soon afterwards, he discovers that his father was sleeping around with another woman, and that Sam actually has a half-sister whom he never knew existed. His father has willed her $150,000 and has left Sam with the task of getting it to her. Frankie is a bartender also wrapped up in work just like her half-brother, and she has had a bad past and has now been left with the job of being a single parent to her troublemaker son, Josh. Josh is eleven years old but curses like a sailor and constantly makes fart jokes and sex jokes, making him popular with the bad kid crowd at school, although behind the act, Josh is depressed and lonely. Now Sam has to find a way to fix the past and reunite his mom, nephew and half-sister together at last, but it won't be easy."
10 Years,2011,PG-13,"Comedy, Drama, Romance","The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways."
Only Lovers Left Alive,2013,R,"Comedy, Drama, Fantasy","Adam (Tom Hiddleston), an underground musician, reunites with his lover for centuries (Tilda Swinton) after he becomes depressed and tired with the direction human society has taken. Their love is interrupted and tested by his wild and uncontrollable little sister (Mia Wasikowska)."
Drift,2013,R,"Drama, Sport","In the 70s two brothers battle killer waves, conservative society and ruthless bikers to kick-start the modern surf industry."
The Spectacular Now,2013,R,"Comedy, Drama, Romance","Sutter Keely lives in the now. It's a good place for him. A high school senior, charming and self-possessed, he's the life of the party, loves his job at a men's clothing store, and has no plans for the future. A budding alcoholic, he's never far from his supersized, whiskey-fortified thirst-master cup. But after being dumped by his girlfriend, Sutter gets drunk and wakes up on a lawn with Aimee Finecky hovering over him. She's different: the ""nice girl"" who reads science fiction and doesn't have a boyfriend. While Aimee has dreams of a future, Sutter lives in the impressive delusion of a spectacular now, yet somehow, they're drawn together."
Piranha 3DD,2012,R,"Comedy, Horror","Having awoken from their spring break extravaganza at Lake Victoria, the swarm heads upstream where they look to make a meal out of Big Wet, a local water park where when it comes to fun, nobody does it wetter! Though they came to get wet, get loaded and get some, the staff and patrons get more than they bargained for when they must face the fiercest, most bloodthirsty piranhas yet. Lead by the strong-willed, studious Maddy and her friends, Barry and Kyle, the trio must dive in and take on these man-eating creatures using every ounce of their being but can they be stopped?"
Alex Cross,2012,PG-13,"Action, Crime, Mystery","Dr. Alex Cross is on his last police duty to track down an assassin called Picasso, who's been torturing and killing rich businessmen in Detroit. Soon when the mission gets personal, Cross is pushed to the edge of his moral and psychological limits to end this once and for all."
Lola Versus,2012,R,Comedy,"Dumped by her boyfriend just three weeks before their wedding, Lola enlists her close friends for a series of adventures she hopes will help her come to terms with approaching 30 as a single woman."
Les Misérables,2012,PG-13,"Drama, History, Musical","Jean Valjean, known as Prisoner 24601, is released from prison and breaks parole to create a new life for himself while evading the grip of the persistent Inspector Javert. Set in post-revolutionary France, the story reaches resolution against the background of the June Rebellion."
Snowpiercer,2013,R,"Action, Adventure, Sci-Fi","Set in 2031, the entire world is frozen except for those aboard the Snowpiercer. For 17 years, the world's survivors are on a train hurtling around the globe creating their own economy and class system. Led by Curtis, a group of lower-class citizens living in squalor at the back of the train are determined to get to the front of the train and spread the wealth around. Each section of the train holds new surprises for the group who have to battle their way through. A revolution is underway."
Bernie,2011,PG-13,"Biography, Comedy, Crime","We meet Bernie Tiede (1958- ), a chubby undertaker, who takes pride in his work. He's a Gospel-singing tenor. In a series of interviews with townspeople, mixed with flashbacks, we follow Bernie: he arrives in Carthage, Texas (pop. 7,000), where old ladies adore him; he befriends a wealthy, mean-spirited widow named Marjorie Nugent; they become companions in both daily routines and expensive vacations. Among those interviewed, only her stockbroker and Danny Buck, the local district attorney, are unsympathetic toward the sunny, sometimes saccharine Bernie. Marjorie changes from sour and alone to happy with Bernie; then she gets possessive. What will sweet Bernie do?"
Trigun: Badlands Rumble,2010,TV-14,"Animation, Action, Sci-Fi","20 years after meddling into the bank heist of a notorious robber named Gasback, Vash the Stampede is heading towards Macca City. Rumors say that the legendary thief might appear there causing an enormous influx of bounty hunters in the area who want to collect the $300,000,000 prize for his head."
Safe Haven,2013,PG-13,"Drama, Romance, Thriller","When a mysterious young woman named Katie appears in the small North Carolina town of Southport, her sudden arrival raises questions about her past. Beautiful yet self-effacing, Katie seems determined to avoid forming personal ties until a series of events draws her into two reluctant relationships: one with Alex, a widowed store owner with a kind heart and two young children; and another with her plainspoken single neighbor, Jo. Despite her reservations, Katie slowly begins to let down her guard, putting down roots in the close-knit community and becoming increasingly attached to Alex and his family. But even as Katie begins to fall in love, she struggles with the dark secret that still haunts and terrifies her . . . a past that set her on a fearful, shattering journey across the country, to the sheltered oasis of Southport. With Jo's empathic and stubborn support, Katie eventually realizes that she must choose between a life of transient safety and one of riskier rewards . . . and that in the darkest hour, love is the only true safe haven."
The Five-Year Engagement,2012,R,"Comedy, Romance","In San Francisco, after a year's relationship, Tom proposes to Violet; she accepts. She's an experimental psychologist, hoping for a post-doc at Cal. He's a sous chef who runs the kitchen when the chef is away. When Cal falls through and she gets an offer in Ann Arbor, Tom agrees to support the move, turning down a job as chef at a new restaurant. The move requires postponing the wedding. At Michigan, Violet is in her element, but Tom is underemployed and frustrated; he's Stoic for a while, but when two years in Michigan become four, Tom's frustrations boil over, and on the eve of yet another wedding date, they must make a choice. Is there any other alternative?"
Wonder Woman,2009,PG-13,"Animation, Action, Adventure","In antiquity, the Amazons defeat the war god, Ares, and Zeus charges them to hold him prisoner as eternally young warriors on the hidden island of Themyscira. Centuries later, US Air Force pilot Steve Trevor is lured to crash land on the island and the distraction of that trespass allows Ares to escape. In response, Princess Diana wins the responsibility to both take Trevor home and recapture the fugitive god. Steve Trevor offers to help and together this disparate pair must not only overcome Ares' efforts to achieve a bloody revenge, but also reconcile their own conflicting world views in an adventure that would be the first for the greatest of the female superheroes."
The Wrecking Crew!,2008,PG,"Documentary, Music","A celebration of the musical work of a group of session musicians known as ""The Wrecking Crew"", a band that provided back-up instrumentals to such legendary recording artists as Frank Sinatra, The Beach Boys and Bing Crosby."
Corman's World: Exploits of a Hollywood Rebel,2011,R,Documentary,A documentary on DIY producer/director Roger Corman and his alternative approach to making movies in Hollywood.
Marley,2012,PG-13,"Documentary, Biography, Music","Bob Marley's universal appeal, impact on music history and role as a social and political prophet is both unique and unparalleled. The definitive life story of the musician, revolutionary, and legend, from his early days to his rise to international super-stardom. Made with the support of the Marley family, there is rare footage, incredible performances and revelatory interviews with the people that knew him best."
Cold in July,2014,R,"Crime, Thriller","When a protective father meets a murderous ex-con, both need to deviate from the path they are on as they soon find themselves entangled in a downwards spiral of lies and violence while having to confront their own inner psyche."
The Hobbit: The Desolation of Smaug,2013,PG-13,"Adventure, Fantasy","After successfully crossing over (and under) the Misty Mountains, Thorin and Company must seek aid from a powerful stranger before taking on the dangers of Mirkwood Forest--without their Wizard. If they reach the human settlement of Lake-town it will be time for the hobbit Bilbo Baggins to fulfill his contract with the dwarves. The party must complete the journey to Lonely Mountain and burglar Baggins must seek out the Secret Door that will give them access to the hoard of the dragon Smaug. And, where has Gandalf got off to? And what is his secret business to the south?"
Tidal Wave,2009,R,"Action, Drama","Professor Kim, a marine geologist, recognizes the impending danger of a mega tsunami headed straight for Haeundae, a popular vacation spot on the south coast of Korea. He desperately attempts to warn authorities and alert the unknowing vacationers of the 500 MPH destructive force of nature headed their direction."
Big Eyes,2014,PG-13,"Biography, Crime, Drama","In San Francisco in the 1950s, Margaret was a woman trying to make it on her own after leaving her husband with only her daughter and her paintings. She meets gregarious ladies' man and fellow painter Walter Keane in a park while she was struggling to make an impact with her drawings of children with big eyes. The two quickly become a pair with outgoing Walter selling their paintings and quiet Margaret holed up at home painting even more children with big eyes. But Walter's actually selling her paintings as his own. A clash of financial success and critical failure soon sends Margaret reeling in her life of lies. With Walter still living the high life, Margaret's going to have to try making it on her own again and re-claiming her name and her paintings."
Dragon Ball Z: Cooler's Revenge,1991,TV-PG,"Animation, Action, Sci-Fi","After destroying Frieza on Namek, Goku returns to a peaceful life on Earth. When informed his brother has been killed by a Saiyan, Cooler is hell bent on killing Goku, and making him pay for his brother's disgrace. Goku has to find the power within him to defeat a warrior even more powerful than the horrible Frieza."
The Scorpion King: Rise of a Warrior,2008,PG-13,"Action, Adventure, Fantasy","In Ancient Akkad, Mathayus grows up as the proud son of Ashur, a captain in the world-renowned military corps of Black Scorpions, first-rate bodyguards, most of which are sent to courts wide away. By objecting to young Mathayus joining the corps, Ashur incurs the undying enmity of ruthless generalissimo Sargon, gets killed and the orphaned knave is shipped off to a desolate training camp for six years by king Hammurabi's clemency. When he returns as a Black Scorpio, Sargon has bloodily seized the throne and demands cruel proof of blind loyalty. Mathayus refuses, becoming a chased hero. With youth friends, the resourceful Greek Pollux and various mercenary warriors, he embarks on a daring quest to obtain a legendary sword from Sargon's magical ally, the war-goddess Astarte."
Lone Survivor,2013,R,"Action, Biography, Drama","Marcus Luttrell, a Navy Seal, and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. After running into mountain herders and capturing them, they were left with no choice but to follow their rules of engagement or be imprisoned. Now Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
Blended,2014,PG-13,"Comedy, Romance","After a blind date gone horribly wrong, Jim and Lauren agree they never, ever want to see each other again. Well, that's all about to change when the two find themselves and their respective families (including children) all stuck together in one suite at an African Safari vacation spot."
Dark Shadows,2012,PG-13,"Comedy, Fantasy, Horror","In the year 1752, Joshua and Naomi Collins, with young son Barnabas, set sail from Liverpool, England to start a new life in America. But even an ocean was not enough to escape the mysterious curse that has plagued their family. Two decades pass and Barnabas (Johnny Depp) has the world at his feet-or at least the town of Collinsport, Maine. The master of Collinwood Manor, Barnabas is rich, powerful and an inveterate playboy...until he makes the grave mistake of breaking the heart of Angelique Bouchard (Eva Green). A witch, in every sense of the word, Angelique dooms him to a fate worse than death: turning him into a vampire, and then burying him alive. Two centuries later, Barnabas is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate has fallen into ruin. The dysfunctional remnants of the Collins family have fared little better, each harboring their own dark secrets. Matriarch Elizabeth Collins Stoddard (Michelle Pfeiffer) has called upon live-in psychiatrist, Dr. Julia Hoffman (Helena Bonham Carter), to help with her family troubles."
Skyfall,2012,PG-13,"Action, Adventure, Thriller","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves."
Boyhood,2014,R,Drama,"Filmed over 12 years with the same cast, Richard Linklater's BOYHOOD is a groundbreaking story of growing up as seen through the eyes of a child named Mason (a breakthrough performance by Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, BOYHOOD charts the rocky terrain of childhood like no other film has before. Snapshots of adolescence from road trips and family dinners to birthdays and graduations and all the moments in between become transcendent, set to a soundtrack spanning the years from Coldplay's Yellow to Arcade Fire's Deep Blue. BOYHOOD is both a nostalgic time capsule of the recent past and an ode to growing up and parenting."
The Big Year,2011,PG,Comedy,"In birding, a Big Year is seeing or hearing as many different species of birds as possible in a calendar year. Three men pursue the Birder of the Year title: Kenny Bostick, who's seen a record 732 in a past big year, Stu Preissler, newly retired, and Brad Harris, who narrates the story. Life gets in the way: Bostick's wife wants a baby, Stu's firm needs him for sensitive negotiations, and Brad, divorced and underemployed at 36, has an encouraging mom and a disapproving dad. They criss-cross the continent (including a trip to Alaska's westernmost island), follow migration patterns, and head for storms that force birds to ground. Who will win, at what cost, and with what rewards?"
Parental Guidance,2012,PG,"Comedy, Family","The parents of Alice, a controlled mom, agree to take care of her 3 crazy children, Harper, Turner and Barker, because they feel they don't see their grandchildren enough, when Alice and her husband Phil go on a business trip for Phil. But when everything goes downhill, they need to find a way to prove to Alice, Phil, and themselves that they can be great grandparents."
Silver Linings Playbook,2012,R,"Comedy, Drama, Romance","Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son, Pat Solatano Jr., from a Maryland mental health institution after his minimum eight month court ordered stint. The condition of the release includes Pat Jr. moving back in with his parents in their Philadelphia home. Although Pat Jr.'s institutionalization was due to him beating up the lover of his wife Nikki, he was diagnosed with bipolar disorder. Nikki has since left him and has received a restraining order against him. Although he is on medication (which he doesn't take because of the way it makes him feel) and has mandatory therapy sessions, Pat Jr. feels like he can manage on the outside solely by healthy living and looking for the ""silver linings"" in his life. His goals are to get his old job back as a substitute teacher, but more importantly reunite with Nikki. He finds there are certain instances where he doesn't cope well, however no less so than some others who have never been institutionalized, such as his Philadelphia Eagles obsessed father who has resorted to being a bookie to earn a living, his best friend Ronnie who quietly seethes over the control wielded by his wife Veronica, and Veronica's widowed sister, Tiffany Maxwell, a girl with problems of her own. In their fragile mental states, Pat Jr. and Tiffany embark on a love/hate friendship based primarily on what help the other can provide in achieving their individual goals. But they may reevaluate their goals as their relationship progresses."
Iron Sky,2012,R,"Action, Comedy, Sci-Fi","In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers."
Dorothy Mills,2008,R,"Drama, Horror, Mystery","Jane Morton, a psychiatrist from Dublin in deep mourning following the accidental death of her husband and son, is assigned to work on the case of Dorothy Mills, a teenaged girl in a small village who tried to strangle a baby. After miraculously surviving a car accident, Jane discovers a village darkened by strange events and meets a very nervous Dorothy, who swears she never touched the baby. After analyzing the teenager, Jane makes a diagnosis of multiple personality disorder until the day that Dorothy speaks with the voice of David, Jane's dead son."
Selma,2014,PG-13,"Biography, Drama, History","The unforgettable true story chronicles the tumultuous three-month period in 1965, when Dr. Martin Luther King, Jr. led a dangerous campaign to secure equal voting rights in the face of violent opposition. The epic march from Selma to Montgomery culminated in President Johnson signing the Voting Rights Act of 1965, one of the most significant victories for the civil rights movement. Director Ava DuVernay's ""Selma"" tells the story of how the revered leader and visionary Dr. Martin Luther King, Jr and his brothers and sisters in the movement prompted change that forever altered history."
Ice Age: The Great Egg-Scapade,2016,TV-PG,"Animation, Short, Adventure","Scrat, Manny, Sid, Diego and the rest of your prehistoric pals from Ice Age are back for an all-new hilarious animated adventure! Business is booming at Sid's new egg-sitting service but when the dastardly pirate bunny Squint steals the eggs, Manny, Diego, and the rest of the gang take off on a daring rescue mission that turns into the world's first egg hunt."
Hush,2016,R,"Horror, Thriller",A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
Mother's Day,2016,PG-13,"Comedy, Drama","Follows the lives of different mothers on Mothers Day. Sandy (Aniston) is happily divorced, until she finds out her ex-husband eloped with a much younger woman. Now she must learn to deal with big changes in her life as her two boys now have a step-mom. Sisters Jesse (Hudson) and Gabi (Chalke) get an unexpected surprise from their mother, who is not happy to find out Gabi is a lesbian and Jesse is married to a man of color. Miranda (Roberts) doesn't have any kids and is focusing on her career. Kristin (Robertson) is enjoying life as a new mother but is feeling pressure from her boyfriend to get married. Bradley (Sudeikis) is trying hard to be the best parent for his two girls since their mom passed away last year, however his idea of Mothers Day is pretending it doesn't exist at all."
A Very Murray Christmas,2015,TV-MA,"Comedy, Music, Musical","Murray, playing himself, trying to avoid a Hollywood figure who wants to represent the actor, who famously forgoes having a manager or agent. And somewhere in there will be rooms for Christmas carols to be sung by the actors (everyone is playing themselves) and probably more bits and pieces of holiday cheer."
Neighbors 2: Sorority Rising,2016,R,Comedy,"Mac (Seth Rogen) and Kelly (Rose Byrne) are ready to make the final move into adulthood. But just as they thought they have reclaimed the neighborhood, they learn that their new neighbors are even more out of control than the last. To evict them, they will need help from their ex neighbor (Zac Efron)."
The Boy and the Beast,2015,PG-13,"Animation, Action, Adventure","The latest feature film from award-winning Japanese director Mamoru Hosoda (Summer Wars, Wolf Children): When Kyuta, a young orphan living on the streets of Shibuya, stumbles into a fantastic world of beasts, he's taken in by Kumatetsu, a gruff, rough-around-the-edges warrior beast who's been searching for the perfect apprentice. Despite their constant bickering, Kyuta and Kumatetsu begin training together and slowly form a bond as surrogate father and son. But when a deep darkness threatens to throw the human and beast worlds into chaos, the strong bond between this unlikely family will be put to ultimate test-a final showdown that will only be won if the two can finally work together using all of their combined strength and courage."
Jason Bourne,2016,PG-13,"Action, Thriller","Jason Bourne is again being hunted by the CIA. It begins when Nicky Parson a former CIA operative who helped Bourne, who went under and now works with a man who's a whistle blower and is out to expose the CIA's black ops. Nicky hacks into the CIA and downloads everything on all their Black Ops, including Treadstone which Bourne was a part of. And Heather Lee, a CIA agent, discovers the hack and brings it to the attention of CIA Director Dewey, the man behind the Black Ops. He orders Parsons be found and, hopefully, Bourne, too."
World of Tomorrow,2015,G,"Animation, Short, Comedy",A little girl is taken on a mind-bending tour of her distant future.
Keanu,2016,R,"Action, Comedy","Rell's life is changed forever when a cute kitten comes to his door, and he names it Keanu. Unfortunately, one weekend later, Keanu is abducted by persons unknown. Now Rell and his cousin, Clarence, are men on a mission to find Keanu against the odds. Unfortunately, those odds prove to be perilously high as they find Keanu in the care of the ruthless gangster, Cheddar, and he will only part with him for a price. Now for that cute kitten, these two middle class bumblers find themselves neck deep in a dangerous alien world of drugs and gang violence with only their desperate audacity, creativity and sheer dumb luck giving them a chance to survive."
The Shallows,2016,PG-13,"Drama, Horror, Thriller","In the taut thriller The Shallows, when Nancy (Blake Lively) is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude."
Hyena Road,2015,R,"Drama, War","Hyena Road is centered around the Canadian Forces deployed in Kandahar Province, Afghanistan. The Forces are encountering resistance from insurgents as they construct ""Hyena Road"" deep into Taliban territory. Warrant Officer Ryan Sanders, the leader of a rifle squad, finds himself under heavy fire while on sentry duty on the road. After their assigned evacuation vehicles are unable to reach their location, the squad moves on foot and reaches a Pashtun village. There are harbored by a tribal elder in his home, who also sends the Taliban away after they attack the village with rockets while searching for the Canadians. Sanders and his squad evacuate the area and return to base, where his secret lover Captain Jennifer Bowman, a communications officer, is also stationed. Meanwhile, Captain Pete Mitchell, an intelligence officer, carries out normal duties as the road is constructed, with little help from the Canadian's Afghani allies. When he hears Sanders' story of the Afghani elder, he decides to search for the man as a potential ally. He is helped in his search by a local asset assisting against the Taliban, called The Cleaner. While a search of the village yields nothing, Sanders' is able to remember that the elder has eyes of two different colors, with one being brown and the other blue. Mitchell is immediately able to identify the man as ""the Ghost"", formerly a fighter against the Soviets who gained his nickname for disappearing every-time he was injured, since his comrades would take him across the mountains into Pakistan, out of the range of the Soviets. Mitchell eventually arranges a meeting with the Ghost, but he refuses to accept money as a deal for his help, stating that he is now an old man and his days of combat are behind him. Meanwhile, the Canadians Afghani Allies, BDK and his son, Karim, are double-crossing them and receiving bribes from the Taliban. Sanders' squad sees this firsthand while observing the Ghost visit his son's home and granddaughters. The home was situated on land owned by BDK, while the crops had been destroyed by a Coalition airstrike some time in the past, leaving the Ghost's son with nothing to give BDK as his tithe for protection. Soon after the Ghost leaves, BDK arrives with Taliban protection and instructs the Ghost's son to pay up his money. When the son states that the entire opium crop was destroyed, BDK takes the Ghost's granddaughters and drive away. Sander's fireteam observe the whole seen and are desperate to prevent BDK from taking the children, but Mitchell repeatedly instructs them to hold their fire as they do not fully understand local politics. While everyone in the Canadian intelligence group knows their Afghani allies are crooked, there is no alternative in the province and they need all the help they can get. Meanwhile, Bowman reveals to Sanders that she is pregnant with his son, having conceived while both were on leave. Sanders rejoices in this, despite it being a serious problem regarding military rules prohibiting fraternization between officers and NCOs. The Canadians follow the Ghost, who has declared a personal war on BDK in revenge for the kidnapping of the girls. With assistance from his tribe, the Ghost abducts BDK's son Karim and beheads him when he is unable to reveal the location of the girls. Following this, the Ghost arranges a meeting with BDK in an isolated house, at the same time when BDK is supposed to be with the Canadians as they commemorate the opening of Hyena road. BDK agrees to exchange the girls for Karim. However, when BDK arrives with his bodyguards in a convoy, he demands to know the location of his son. The Ghost response by opening a sac he has brought and holding up Karim's severed head, at which point BDK pulls out his pistol and threatens to kill the Ghost. Sanders and his squad, who have been watching the whole action, fires on BDK as they have positive intent of violence. They do not, however, know that the Ghost desired to die having nothing else to live for, and only wanted to avenge his grandchildren who he assumed were lost forever.A firefight ensues after BDK is shot in the head by the Canadians, and the Canadians soon drive off BDK's bodyguards and begin moving out. As they move down to the house, dozens of Taliban insurgents arrive and they are trapped with the Ghost around the house. Although they fight off the insurgents, there is no support available and the Canadians are pinned down. After Travis, one of the members of Sanders' squad, is shot in the head by a sniper, the squad decides to relocate into the house under heavy enemy fire. As they move, they run into IEDs and the squad is incapacitated, with only Sander being able-bodied, along with the Ghost. Recognizing that there is no escape, Sanders calls in for artillery ordering to fire on his exact location to eliminate the insurgents, instructing them to fire for effect. After apologizing for the last time to Bowman, who heavily weeping tries to countermand the order, Sanders pulls off his helmet and tells the Ghost that he was going to be a father, something the Ghost appears to understand despite him not speaking English. Moments later, the artillery rounds hit the house obliterating Sanders, the Ghost, his squad, and many of the Taliban insurgents around them. The movie ends as Canadian troops rescue numerous Afghani children including the Ghost's granddaughters from one of BDK's safehouses, having acted on the Cleaner's information and other assets. Mitchell talks about how things will eventually get better, in the long term."
The Boy,2016,PG-13,"Horror, Mystery, Thriller","Greta is a young American woman who takes a job as a nanny in a remote English village, only to discover that the family's 8-year-old is a life-sized doll that the parents care for just like a real boy, as a way to cope with the death of their actual son 20 years prior. After violating a list of strict rules, a series of disturbing and inexplicable events bring Greta's worst nightmare to life, leading her to believe that the doll is actually alive."
The Perfect Guy,2015,PG-13,"Drama, Thriller","After a painful breakup, successful lobbyist Leah Vaughn (Sanaa Lathan) jumps into a passionate relationship with a charming stranger (Michael Ealy). When her ex-boyfriend (Morris Chestnut) resurfaces in her life she has to figure out who she should trust and who she should fear."
Truth,2015,R,"Biography, Drama, History","The story of The Killian Documents controversy (a.k.a. ""Rathergate"") in the days leading up to the 2004 presidential election. When veteran newscaster Dan Rather and CBS News head Mary Mapes choose to air a segment on 60 Minutes exposing how President Bush avoided being drafted to Vietnam through his father's political advantages, the resulting fallout ultimately costs them their jobs and reputations."
The Abominable Bride,2016,TV-14,"Crime, Drama, Mystery",Sherlock Holmes and Dr. Watson find themselves in 1890s London in this Christmas special.
The Nice Guys,2016,R,"Action, Comedy, Crime","Set against the backdrop of 1977 Los Angeles, The Nice Guys opens when single father and licensed PI Holland March (Gosling) is hired to investigate the apparent suicide of famous porn star Misty Mountains. As the trail leads him to track down a girl named Amelia (Qualley), he encounters less licensed and less hands-off private eye Jackson Healey (Russell Crowe) and his brass knuckles, both hired by the young hippie. However, the situation takes a turn for the worse when Amelia vanishes and it becomes apparent that March wasn't the only party interested. As both men are forced to team up, they'll have to take on a world filled with eccentric goons, strippers dressed as mermaids and even a possible government conspiracy."
Ashby,2015,R,"Comedy, Drama, Romance","ASHBY is a coming of age/approaching death comedy drama. A seventeen-year-old kid (Ed) trying to understand who he wants to be in the world, befriends a terminally ill ex-CIA contract killer (Ashby) who is trying to make peace with his life and God before he goes. 'Making peace' might just entail killing three old bosses who have tricked him into breaching his strange moral code."
"Hello, My Name Is Doris",2015,R,"Comedy, Drama, Romance",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.
Bridge of Spies,2015,PG-13,"Drama, History, Thriller","In the cold war, a lawyer, James B. Donovan is recruited by the CIA and involved in an intense negotiation mission to release and exchange a CIA U-2 spy-plane pilot, Francis G. Powers. The pilot was arrested alive after his plane was shot down by the Soviet Union during a mission and stays in the company of a KGB intelligence officer, Rudolf Abel, who was arrested for espionage in the US."
Sing Street,2016,PG-13,"Comedy, Drama, Music","This is the beginning of the eighties and everybody is moving to the beat of Pop music, as the brand-new concept of the music video appears on television for the first time. However, in Dublin, Conor, a teenager with a sensitive heart, is trying to deal with a tense family relationship, reconnect with his older brother while dealing with the hostile environment in his new public school. And then one day, he sees her. Tall, with long chestnut hair, a buttery complexion and big, dark eyes; an enigmatically beautiful girl standing in front of his school's gate, indolently observing people passing by. But who is she and how could a boy ever get noticed by such a distant girl? That's easy. He would form a band. Surprisingly, with every lyric Conor writes, the gap narrows and with every song he plays, her heart fills with affection. In the end, before a sea of opportunities lying ahead of them, what will the future hold for a brave love like this?"
The Night Before,2015,R,"Adventure, Comedy, Fantasy","Ethan (Joseph Gordon-Levitt), Isaac (Seth Rogen) and Chris (Anthony Mackie) have been friends since childhood, and for a decade, their yearly Christmas Eve reunion has been an annual night of debauchery and hilarity. Now that they're entering adulthood, the tradition is coming to an end, and to make it as memorable as possible, they set out to find the Nutcracka Ball - the Holy Grail of Christmas parties."
Close Range,2015,TV-MA,"Action, Crime","After unwittingly making off with a mysterious flash drive during the rescue of his young niece from a powerful drug cartel, Colton MacReady is thrust into a relentless fight to save his family as the cartel descends upon his sister's home in search of it and their own brand of south-of-the-border justice. In tow is a corrupt local sheriff and his crew of deputies, ensuring that help won't be coming any time soon. What ensues is a non-stop assault, a blow-by-blow survival marathon for Colton to protect his loved ones and save his own life while keeping the drive from falling back into the wrong hands."
London Has Fallen,2016,R,"Action, Drama, Thriller","After the British Prime Minister has passed away under mysterious circumstances, all leaders of the Western world must attend his funeral. But what starts out as the most protected event on earth, turns into a deadly plot to kill the world's most powerful leaders and unleash a terrifying vision of the future. The President of the United States, his formidable secret service head and a British MI-6 agent who trusts no one are the only people that have any hope of stopping it."
The Blackcoat's Daughter,2015,R,"Horror, Thriller",Two girls must battle a mysterious evil force when they get left behind at their boarding school over winter break.
I Am Wrath,2016,R,"Action, Crime, Drama",A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.
Now You See Me 2,2016,PG-13,"Action, Adventure, Comedy","One year after outwitting the FBI and winning the public's adulation with their Robin Hood-style magic spectacles, The Four Horsemen resurface for a comeback performance in hopes of exposing the unethical practices of a tech magnate. The man behind their vanishing act is none other than Walter Mabry, a tech prodigy who threatens the Horsemen into pulling off their most impossible heist yet. Their only hope is to perform one last unprecedented stunt to clear their names and reveal the mastermind behind it all."
